, ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ¥), Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability
 Realized Sales Gross Profit Growth Rate,0.0005910673864003063,0.003277137582088455,0.0021422492218886647,0.014172026937024391,0.014187934802629849,0.0008310849744036767,0.0012460442751183048,0.0012259791775787747,0.0004836085647130458,0.0012074716330619489,-0.008170085769546314,-0.011150748906853646,-0.017070471045597047,-0.003299102700635859,0.001506963545924304,-0.013744019082572067,-0.013689394393041832,-0.013708383870038025,-0.0021779156909083395,-0.10468879032188967,0.00019204780410828775,-0.002527064153321761,-0.0004959322367321976,1.0,0.002192331639420381,0.006470051467864852,0.0064442337993090544,0.0007466083355547117,-0.03511558752103688,-0.0006979138575001295,0.005842771194290262,-0.049794353541824,-0.0002847504176745063,0.0032200694739376026,-0.0002595776802887199,-0.0005890615410782792,0.011461159595253973,-0.0114611595952544,0.0012476328557921939,-0.004898088833390099,-0.0014835068898745019,-0.0025166761013907238,-0.00267392761621356,0.0181327459762338,0.09685602625995882,-0.0006301240286557773,-0.0009372305648882544,-0.007853294563399827,-0.005696535277773526,0.06169070558999384,-0.0005392475490182898,0.00196194536895432,-0.0010016565196237556,0.012096401110673017,0.015756359583081244,0.028146430024610362,-0.005604875159812488,-0.0004938757369097006,-0.0017987722059044163,0.02155887420556335,-0.023342560440652832,-0.00012070263658646793,-0.0012898220742153922,0.01651948848625348,0.00868281641599282,0.004455693543821226,-0.00178268917227114,-0.008902381355632412,-0.00030735474381168593,0.05098211863959541,0.019388225875043148,0.003755092187933168,2.2884541203048864e-05,-0.009126459184339205,-0.00018201205788990086,-0.0003012455393339815,0.01651948848625348,0.004455693543821226,-0.004257695909534518,-0.004178200131588544,0.0023933694588605396,-0.046843500977736735,-0.005538874014101831,-0.0028131149286931036,0.002141606628840909,0.003063890131913091,0.0026921077255516778,-0.0007643206482481952,0.014172353610376826,0.0019517431204320417,0.0016873305742036119,-0.0006723545998017697,-0.00032709882508516117,,-0.002302118875119815
 Operating Profit Growth Rate,0.03651059289900012,0.042207586826820666,0.036144238536627314,0.02286690350290219,0.02277779841275052,0.004952375069431779,0.00390909715648821,0.0029624045525750795,-0.004199654536487103,0.0026432940457171757,0.013373677312247305,0.012166212198911017,0.0037313071896586565,0.0017828318804997603,0.018783586005983267,0.01604937624706684,0.016013990213488403,0.0160222839502036,0.025087988860128644,-0.005480808526066673,-0.0004267949571881281,0.027940836677648326,0.029782079417162315,0.002192331639420381,1.0,0.6393944028235897,0.6367928199888535,0.10082140504634857,0.015553436011178914,-0.004534359690711643,0.3267204408249072,-0.0008555142304534791,8.865071610680562e-05,0.00040398882805004914,0.006089574151638724,5.14820663635353e-05,-0.018100391513524328,0.01810039151352395,0.0016544362622089566,0.002008655928899442,-0.0027082161693295654,0.027680193780925934,0.02799717951812786,0.005846523699421974,0.04408763179978723,-0.025684477724507524,-0.0013951634494959659,0.002095337411091946,-0.007908241450847125,0.03299968220712718,-0.0008528406957781124,0.015479580803336574,0.00034768937395250366,0.024150235962900782,0.012453535197560395,0.018826493736374048,0.00804836858127773,0.00014477412365940874,-0.002418772414544678,-0.006721131937531383,0.003664450617018644,8.05351050153056e-05,0.001563566202150487,0.011871298904880983,-0.003457001619416443,0.005972663015513395,0.0015463744673753132,0.02145029596281004,0.0008059940354886107,-0.004172750384662199,0.011499099818224655,0.012410639957465698,-0.005974255363478161,0.014003434390095498,-0.005175366066625941,4.204703468662624e-05,0.011871298904880983,0.005972663015513395,-0.012553736106933019,0.008679756218369824,0.003389163620222861,0.002719246037919988,-0.020306687561658494,-0.021073135661791018,-0.046146153190451074,0.041045544828650665,6.30393628937966e-05,-0.00018043933962052117,0.022865920909455644,-0.007569991575713334,0.0005366814265561569,0.001247210251764928,0.004575862373784514,,0.0017247493146279197
 After-tax Net Profit Growth Rate,0.11508282351701472,0.12538403306685064,0.11713007477539253,0.054638553514602506,0.05447015275098403,0.011328235377419178,0.0351502735138693,0.031222684546630932,0.043178818868634485,0.016584390386112778,0.007175805050672751,0.019958027390853776,0.019070732453364988,0.010105624471608425,0.047621399397527436,0.05681820325103498,0.05667921446888587,0.056681754864722184,0.08608014950518493,0.0014119710411789003,-0.058293845624348146,0.06750184617541638,0.09022255541737945,0.006470051467864852,0.6393944028235897,1.0,0.9961861926223086,0.11305139046041848,0.008039462478039864,-0.0036604961570975677,0.22391893931559415,0.02063017046185807,0.00020141361112590965,0.0007957781515987573,0.006938297845774772,0.0005354822063855306,-0.030239527403583377,0.03023952740358363,0.0032400433930995978,-0.012188434801569633,-0.004558247906485431,0.06687030411975585,0.0880742555527989,-0.00567305075787103,0.05972415749512312,-0.019194513846110955,0.0036417816086044847,-0.013039515366165579,-0.005390378087175648,0.035120694074958006,-0.1297658455611052,0.04626011398473625,0.0005477113279377042,0.031928152921782464,0.02847801989800452,0.015090088235504971,0.0208187928339646,0.0004685121733115047,-0.005474507994390215,-0.02193632651805613,0.01592661309023888,0.0019955756313747245,-0.019321115581921417,-0.0009290617162303142,0.00441099332838457,-0.007516667028314963,0.005114055931256723,0.06412127877194726,0.002599568673312216,-0.031487273212693574,0.005804650091049854,0.01441759998095442,0.00037124310951860956,0.01409731254774538,0.0009161833519079891,0.0003810281104350019,-0.0009290617162303142,-0.007516667028314963,-0.018494300525580633,0.027410761272126206,0.015735579662410706,0.014993170331755096,-0.006924728243829433,-0.0335975526088403,-0.05083863418022188,0.11959576425807031,0.0011851323257865913,0.002108431622871642,0.05463897278415737,0.020202614644105072,-0.011685281481416588,0.0020303227927511314,0.005373047631242432,,0.0012532786741842993
 Regular Net Profit Growth Rate,0.11503956896899994,0.12587185064790316,0.11704151030294185,0.053429778418844,0.05325869121625597,0.01122659790304596,0.03491430942281772,0.030963891935769615,0.042951330526042504,0.016414864948151177,0.009511051605620073,0.02070269902174061,0.018299799196728216,0.010021106728891109,0.04770062695277695,0.056517504066865336,0.0563753293931908,0.056377896314041616,0.08608348385783476,0.00048827652547095234,-0.058070820318319234,0.06718164490586372,0.09036756417010047,0.0064442337993090544,0.6367928199888535,0.9961861926223086,1.0,0.11290371207875516,0.00891085086128744,-0.003649268247571636,0.22310572431653894,0.019472720482189166,0.0001858140102673153,0.0007829194752944251,0.0068743921333896795,0.0005235788823167668,-0.03051171631386716,0.030511716313867416,0.003390022107619527,-0.012109164382951896,-0.004273727629547366,0.06655212927798615,0.08825546953539205,-0.005826774089320484,0.060222854348396734,-0.019103395845621797,-0.0026230682837918022,-0.013363144511807052,-0.004696529781735552,0.03522390803371637,-0.12890530083940102,0.04610089067704111,0.0005352004983901098,0.0317643344477403,0.028958645276506767,0.014820336187629086,0.02003945958498481,0.00046072338151333065,-0.005428108856390323,-0.02207990150859343,0.015184994127205495,0.0017764198160414944,-0.019272279142282654,-0.0009329321834223063,0.004243173538227106,-0.007520602507159013,0.0049053520767508435,0.06442180966622513,0.00259938892395387,-0.03282651269948093,0.005590921852784182,0.014145789856925904,0.00019784905387894657,0.013462069946108454,0.0007558363329489116,0.00037606981134170496,-0.0009329321834223063,-0.007520602507159013,-0.018514484207776658,0.026884356684594685,0.015740623912294298,0.013393106370493704,-0.007324254768514518,-0.033394841331898587,-0.05063895163080728,0.11986999691036929,0.0011664012908772724,0.0020263114476486064,0.05343040751063266,0.020272577500043677,-0.011704737266680127,0.0020141054923838485,0.005329250991872284,,0.001382500654776014
 Continuous Net Profit Growth Rate,0.025233811642544957,0.024887244824262033,0.024414357157922374,0.009121178774553783,0.00911715174800586,0.0013181404192547995,0.0030128650386604884,0.002565453333278926,0.002854940489950337,0.0018423461901582484,-0.006643657365997401,0.007841628095534443,0.003902221197072004,0.0004989438641709652,0.016856547864831362,0.04386533956599895,0.04376665574490289,0.043750656839401464,0.023706790055680868,-0.0003753889781809931,-0.0035027603206348405,0.012131002416881862,0.02444784662991222,0.0007466083355547117,0.10082140504634857,0.11305139046041848,0.11290371207875516,1.0,0.010175352469405395,-0.00027041392863953994,0.036198010001838664,-0.0037496528553301062,-6.001395089816721e-05,-0.00011961170750301001,0.0011448728142757273,-0.00015353361554812348,-0.02520524888932059,0.025205248889321203,0.000963646584493354,-0.007715205749381659,-0.001580387781205514,0.012001749902127845,0.025102979831856016,-0.0063689632767712275,-0.0002154998310053702,-0.002989101422040742,-0.0007169477376759365,-0.012953619098265244,-0.0037285788218158066,-0.001916300016256237,-0.007249171546782459,0.005900016660982528,-0.0001993003419615301,0.004795030818736485,-0.00335054387056121,-0.007937133161020135,-0.0016194925693529924,-8.139917590538269e-05,-0.0011461069258127251,-0.016882556252583794,0.0034029101682898316,0.060757945465525987,-0.0015189675468072936,0.0033924521584083457,0.0013271599456927952,-0.0061793771781645974,-0.0005073092759463873,0.011964781361292478,0.00065345922396109,-0.013008921745986154,-0.002072863676763275,-0.0071766626631680815,-0.0003847209528484526,-0.006509360156961315,-0.00017955155258715425,-4.268424440480756e-05,0.0033924521584083457,-0.0061793771781645974,-0.008501057770566024,-0.00020846036252396917,0.00012043514162365381,-0.0012624584831033312,-0.0008339250561734653,-0.00917407309545971,-0.00205943751896672,0.024256564030078174,-0.0003071550389541417,0.002107894645732062,0.009121583421684712,0.006637720090423191,-0.00743279132040891,1.3958841951974186e-05,0.0010859203450358727,,0.014498202014452061
 Total Asset Growth Rate,0.019635082385452803,0.026976681701490847,0.022104093064973022,0.016012789896222894,0.016583407189211974,0.034464841144484386,0.03763259646288497,0.037065986796252684,-0.008223731078216926,0.034962285289303244,0.014168371305188002,0.023188652494629,0.05538866089709947,-0.018700453660103426,0.06788612803453696,-0.018870544125799655,-0.018649659446198532,-0.01838891940277046,-0.03674340079452079,0.054534257901459805,-0.01067002707556248,-0.04133432804383807,-0.05529849467111399,-0.03511558752103688,0.015553436011178914,0.008039462478039864,0.00891085086128744,0.010175352469405395,1.0,-0.008688356870361789,-0.037135519392722124,0.06371042699790568,0.006779103257754699,-0.013451082120417688,0.007325101049224599,-0.012469354283721755,-0.04919104500919013,0.04919104500918988,-0.0339257250222364,-0.01935437725447153,-0.001136359712697815,-0.03897824954790947,-0.028556600731288063,-0.045200240749005374,-0.07239328357233131,-0.030866192894683828,-0.03560809348713506,0.030277144720911725,0.009155172058592065,-0.08499383251278424,-0.017423269931028447,0.0037772777239074105,-0.010749970767119317,-0.0258944067242579,-0.06839318020234846,-0.07764660380005632,-0.0640788312236203,-0.002528282291101419,0.006807518580616682,-0.06931497776949387,0.06413219757881351,0.010147189947660291,-0.011164439260737315,-0.044134856490970605,-0.013872922443922452,-0.03628268938417199,0.016918236706812657,0.09916339657011163,-0.020221291820382563,-0.07961888712930017,0.0007391332396434916,0.03234049037900285,0.0045109531752070735,0.06441870099736585,0.004524237403527316,0.006570117311099057,-0.044134856490970605,-0.03628268938417199,-0.01385454932683409,-0.10464133478714917,-0.06455224189531468,0.10086447970116016,-0.04838516975424924,-0.027703203326341113,-0.027766149765231035,0.08003071488938232,-0.038909332915738754,-0.013173843250082275,0.016014462155497323,0.0325653077763412,-0.03305228952522046,0.00552043231262719,0.0017229530333026872,,-0.015962297334972116
 Net Value Growth Rate,-0.02193022383360519,-0.06397041004076118,-0.026126724406325633,-0.017448007907591066,-0.017451245855854853,-0.00020721004333332748,-0.0009979885879444837,-0.00085782394952263,-0.0015048711441225206,-0.000354456718674773,-0.008456422523363434,-0.010300172665684762,-0.007419936896166776,0.013614238822330123,-0.011379642209316839,-0.030175325283703303,-0.030088598965197465,-0.030098708622597368,-0.022101338685766678,-0.00938306986470723,-0.0003525819192058059,-0.022638979987786276,-0.03762944055952779,-0.0006979138575001295,-0.004534359690711643,-0.0036604961570975677,-0.003649268247571636,-0.00027041392863953994,-0.008688356870361789,1.0,-0.004652796022145942,-0.013420356264945255,-0.0001661660468817065,-0.00046974614753449905,-0.0006502253103316487,-0.00035983623318037967,0.05650779339415484,-0.05650779339415466,-0.0019143860882405292,-0.07794187542789612,-0.0015837159618799245,-0.022704974150447494,-0.038360611995374834,-0.012109107318882007,-0.0065322544642389445,-0.000630685178857136,-0.0005259455045439404,-0.009008735441579513,0.03600381597594368,0.06320278542798415,-0.0002335772864650111,-0.01249733200907269,-0.0005244255444465055,-0.04467211008073246,-0.0191931741323937,-0.02568373794002678,-0.010481382269889568,0.07591472295682926,-0.000999100939681564,0.02460542093163035,-0.006966703838785541,-0.0005517093455490943,-0.0013156134971484927,-0.01612883631070038,0.06304658072610012,-0.05527915994107253,-0.001303168518029821,-0.04741563100294203,-0.0007094783393111378,0.042600341137749596,0.0088785370116459,0.00612939753480035,-0.00036659907575781664,-0.002080544763609461,3.931199615230024e-05,-0.0001661659823040909,-0.01612883631070038,-0.05527915994107253,-0.07140148624879433,-0.008237059090470568,-0.0019365275090870116,-0.018420844802135374,0.013669010690655374,0.11759024180318996,0.4003420585725411,-0.07240843360625125,-0.0006790387064438851,-0.010080362479851853,-0.017449717511389545,0.06805389716110424,-0.06864925068500564,-0.000697166450208175,-0.00044584924483380563,,-0.010685137407733584
 Total Asset Return Growth Rate Ratio,0.07990567417416446,0.08198168866637406,0.07997212702356593,0.026544637341316662,0.026463425011538068,0.003677238937243207,0.005004223522315334,0.004378860296474648,0.0011145247385381397,0.00420270949583377,-0.003863096745830717,0.029751886190115262,-0.002779101573407985,0.004280554338244311,0.009975844190274356,0.060967728440029394,0.0608349539396047,0.06080206596443437,0.0801401394335356,-0.1874181420241634,-0.0019652168573503596,0.07645312501085814,0.12013495706852399,0.005842771194290262,0.3267204408249072,0.22391893931559415,0.22310572431653894,0.036198010001838664,-0.037135519392722124,-0.004652796022145942,1.0,-0.03207838026990778,-0.0007373117596870315,-0.00013524304032349607,0.0016434891101246264,-0.0007939331746908999,-0.0011001987597295218,0.0011001987597294917,0.002237357004796658,-0.00972038016290769,-0.0040141337410476334,0.052078291851889134,0.06205426026580234,0.0074718101068859885,0.041372044127002315,-0.01129124541768553,-0.0014815057893671022,0.013148232456932878,-0.011273802951312011,0.027419268993052453,-0.003492555962179684,0.02243711502776383,-0.0015714977355444795,0.026426894307664425,0.02478733712959743,0.03887188037377698,0.013890511750346522,0.00035768249666432914,-0.00248006827421722,0.01697668858136172,-0.0033540967305660764,0.0004919684832000531,0.0018238548299045702,0.027072741910790978,0.01531540021308597,-0.0014066931003562453,0.0014101217096790174,0.025055925817981613,0.0007942052423318254,-0.015412408099182344,-0.00513046366075454,-0.009261870271913244,-0.0016426150038855811,0.01843810199170883,-0.00060972566212781,-0.00020589165427116934,0.027072741910790978,-0.0014066931003562453,-0.011810861156004842,0.038568588761989146,0.01951609942925085,-0.023001499316260332,0.022967111478207566,-0.008919901763501619,-0.009822789276613886,0.062182721076839156,0.00658255559034545,-0.0003102820531038577,0.026544023304484653,0.019466640832343268,-0.005197666775442463,-0.00031044780845536384,0.0014982151381589418,,-0.002454312373647523
 Cash Reinvestment %,0.2961582400767021,0.26361459222607825,0.2920079346534324,0.12267571560008167,0.1227872436463693,0.014955252035553404,0.017801060000959785,0.01669248188727332,-0.000605530943561519,0.017399561676007678,-0.003016153201418418,0.04226924892189385,0.344660325411195,0.0001976754423871247,0.0653293097373409,0.0906513262651381,0.09037673138320967,0.09031219595091047,0.16522354807014875,0.6502785900938609,0.0007202226391216683,0.205792024264421,0.16815992902629212,-0.049794353541824,-0.0008555142304534791,0.02063017046185807,0.019472720482189166,-0.0037496528553301062,0.06371042699790568,-0.013420356264945255,-0.03207838026990778,1.0,-0.004268345739964249,-0.022360411813011707,0.011983092286202373,0.014102633839026787,-0.13427607934261818,0.13427607934261895,-0.04747755213105763,-0.18544584652757978,-0.006770515692505835,0.2036032749424044,0.1586749159397427,-0.19589862647017264,0.055908793504010734,-0.018598417964313968,-0.012798233868355281,-0.02150831229205141,0.015145540032471979,0.10364727171030318,-0.003601014898849152,-0.01482624393719069,-0.005392777370874871,0.056922493110386205,0.07188215033545331,-0.04755843439013987,0.16765148041306052,-0.02841520120211095,-0.016929231517848278,-0.1382710500995144,0.41268322327530343,-0.0054822075573733465,0.02075136719513653,-0.011323890885390833,0.03670640201193557,-0.16759359147303646,0.023165423723964858,0.20594434394660488,0.004849334637094703,-0.06066271725724889,0.037311695397342616,-0.022286446170970236,0.003030854893344818,-0.041483470205063044,0.006673565792163649,-0.0349560167001405,-0.011323890885390833,-0.16759359147303646,-0.018924034906529524,0.24781407201539898,0.1366520303851326,0.7382760469156606,0.08908925053127477,-0.05297137595029437,0.11887173812113122,0.25271586764534126,-0.04188852479803239,0.008557803822392324,0.12267514840657844,0.1624732159969639,-0.13368571978315236,0.003716830110555397,0.0055250602448849995,,0.04554615178070965
 Current Ratio,0.013195566855160736,0.014102372292986992,0.012974730725439556,0.02494464055819065,0.024984099113524175,0.000832655748924567,0.00316443776182177,0.0026845184293850595,0.004343525649605,0.0028872642537255203,-0.0074642711536188336,-0.009091702928714026,0.0022568282594843366,-0.0018398755891017666,-9.658151944201822e-06,0.010461774276493977,0.010445514728433204,0.010429270559209237,0.011286388032689334,0.0005806716191101784,-0.0003112149300927729,-0.0010144856626129837,0.009684308909018285,-0.0002847504176745063,8.865071610680562e-05,0.00020141361112590965,0.0001858140102673153,-6.001395089816721e-05,0.006779103257754699,-0.0001661660468817065,-0.0007373117596870315,-0.004268345739964249,1.0,-0.0004146330963534681,-0.00037866262893411663,-0.000317618126733411,-0.015860454640592582,0.015860454640592242,0.0001176711383729178,-0.002541783325677585,0.004485181230714783,-0.0009934386044857465,0.010725527533291439,-0.007975346063450706,-0.015340874147556036,-0.0005566899065684493,-0.0004642388551577027,-0.007942780779324109,-0.004930567098487286,-0.009228903650485842,-0.0002061727887282172,0.03883924073280154,-0.0004628972145365233,-0.02011563421146337,-0.023991600128091897,-0.029001608669883144,-0.010622304442393832,-0.0002535587231401218,-0.0008818812449368464,-0.012140726196286738,0.0035471774492467213,-0.0004861918696209812,-0.0011612588880962353,0.004914907972312535,-0.005778933966080195,-0.003581533010856422,-0.0011502740201864818,0.015431784922808086,0.0034112201401764013,-0.01176241449204584,-0.002240401927034823,-0.007291281256767244,-0.0004866167885255832,-0.0036351027793875977,-0.00010083733051736636,-0.0001466706035065451,0.004914907972312535,-0.003581533010856422,-0.0024342561740277285,-0.006635019631026802,-0.005369814358301451,0.001194922227010339,-0.00290668022315145,0.3476300360347476,-0.00041506017820232917,0.014946005255416013,-0.0005993703464800403,0.008178175161054508,0.024946243884529398,0.0024889535262162888,-0.0037411062624227776,-0.0005739235343632751,-0.00015025320233523248,,0.010227955463094135
 Quick Ratio,-0.026335873952321766,-0.01841178815478284,-0.024231692527401757,0.0013789580648635674,0.00141798967753049,0.00032286172892741194,-0.017376388145281793,-0.015368921747681053,-0.03578399542375261,-0.016857016800451145,0.017687103529809463,-0.02570195676891291,-0.012833215398620774,-0.005201270169939916,-0.02487526617904004,-0.0029089860052873384,-0.002873680804549308,-0.0020126908523937755,-0.0042439313272694505,-0.0251352781799842,-0.0008797954566330381,0.0007203576895568696,-0.006930800347358124,0.0032200694739376026,0.00040398882805004914,0.0007957781515987573,0.0007829194752944251,-0.00011961170750301001,-0.013451082120417688,-0.00046974614753449905,-0.00013524304032349607,-0.022360411813011707,-0.0004146330963534681,1.0,0.003143228219186874,-0.000897897112239323,0.03341016283179234,-0.033410162831793544,0.0010126413266876874,0.016767161631126775,-0.0012241086774696748,0.0008158793776600521,-0.006860904798489554,0.03714128052696872,-0.03777041714067879,-0.0015737448066971054,0.016026073819287508,-0.019058287541925824,0.0017973645636252264,-0.02001811535723684,-0.0005828439034678398,0.07442288204230821,-0.0013085957808149323,-0.009233442546046843,-0.06306431621709924,0.027030521272815133,-0.029790269414449042,-0.0007168024826671761,0.15198717143276536,0.048152706940638924,-0.013925731520843351,0.008347483740818888,-0.0032828421714004136,0.028012221390597933,0.003585175029378809,0.014776693265300012,-0.0032517883012851863,-0.011885424764536254,-0.0003142499873975444,-0.018296276151456094,-0.014513601511993171,0.007069037943991943,0.002905393473489272,-0.022125942019729936,2.472118872308535e-05,-0.00041463313748778285,0.028012221390597933,0.014776693265300012,-0.0032870355627486808,-0.008936212740539302,-0.0040885878014425186,-0.023446703177018493,-0.005716854382424101,0.006419897886667915,-0.001173361972181166,-0.017779244794832883,-0.0016944010577559425,-0.014929224906652506,0.0013808767845762953,-0.002374121508315767,0.009645018513174978,-8.293280954899091e-05,0.0018667187589933986,,-0.01708421022423351
 Interest Expense Ratio,0.0039878264146149525,0.005439780405645084,0.005186590098547464,-0.0023656898293426347,-0.0025091168517801304,0.0011560325180876578,0.0016300020265026783,0.0016123916132507721,0.00046480845912258754,0.001478755234831378,0.02444604740351084,-0.013571973026848925,0.000512822470344095,-0.0043596206462283614,0.034656420601354,-0.008174869160243356,-0.008085467547642297,-0.008056073466262937,6.694917442106167e-06,0.003575025808836098,-0.0007098887588674116,3.940290659704334e-06,-0.001110996433380751,-0.0002595776802887199,0.006089574151638724,0.006938297845774772,0.0068743921333896795,0.0011448728142757273,0.007325101049224599,-0.0006502253103316487,0.0016434891101246264,0.011983092286202373,-0.00037866262893411663,0.003143228219186874,1.0,-0.0007967158354652747,0.02319589867815293,-0.023195898678153363,-0.007224175075703894,0.007844458872587131,-7.441307410107676e-05,-2.8104183941402163e-05,-0.0013464650477931159,0.0055074547944380615,-0.0026190867402494933,-0.001306514609031147,0.0016908791580499062,-0.011133383091968154,0.025935760459143066,0.006705732349734167,-0.0031754481823993972,0.008880526807195598,-0.002949512203072179,-0.014455426380629414,-0.016618900283480433,-0.009593767514622834,-0.017431123940869698,0.0018583168160552453,0.010632665141418404,0.006253746375796192,-0.0016801543897821622,0.004150424758171803,-0.001318178750633195,-0.022007611068388753,-0.0028599297399325334,0.004542262354261697,-0.006971085289015891,6.491568652856395e-05,-0.0004296591716314904,-0.013466360322916445,0.03049407656315616,0.007864668870935943,-0.00024047371589088742,0.002048363742531597,-3.771539806626669e-05,-0.0139028306738433,-0.022007611068388753,0.004542262354261697,0.00854319237364903,-0.011677503921961698,-0.004043396362185968,0.00888024002504261,-0.011265989845689418,0.014301573728016069,-0.0015300708312234335,0.004969054904741906,-0.0005861318436335891,-7.624561357659243e-05,-0.0023652498391623067,0.003603758395400366,0.006926063360412097,0.016828998468879357,-0.03432140950867032,,-0.012626113465408189
 Total debt/Total net worth,-0.022207728099146423,-0.010323254491811817,-0.02116076187552937,-0.02235966470521698,-0.02235432555032231,-0.0015065415077185121,-0.0019643608956275895,-0.0013788596448488435,-0.00028366120769345325,7.509493687403261e-05,-0.016164044277745572,-0.01929179721284052,0.3496392923237468,-0.003984291330076532,-0.010497152707616976,0.008546431368136001,0.008546519034494913,0.008514126133652954,-0.011383378244019283,0.0037793459938118452,0.029592188624271556,-0.013880121279972084,-0.008517917215564481,-0.0005890615410782792,5.14820663635353e-05,0.0005354822063855306,0.0005235788823167668,-0.00015353361554812348,-0.012469354283721755,-0.00035983623318037967,-0.0007939331746908999,0.014102633839026787,-0.000317618126733411,-0.000897897112239323,-0.0007967158354652747,1.0,-0.05404949287666905,0.05404949287666805,0.030256422743051372,-0.008079808701994297,-0.0012688115044843914,-0.013835481131000698,-0.008574656003457961,-0.008896086270266277,-0.027846578459974715,0.008627417487481666,-0.0010053194941874503,-0.013441049582555918,0.016062114639678358,-0.01840688597415855,-0.0004464717212208562,-0.025393303833574247,-0.00100241416462288,0.051384100781914084,-0.002856169369354458,0.016897790679190266,0.019682899067594243,-0.0005490869808131666,-0.0019097332976164157,-0.04514196844878132,0.2658432631240234,-0.0005738771462100172,-0.0025147318029129485,-0.006780424979419396,0.008081089715815564,-0.009966570708719211,-0.0024909438498956606,-0.009128539738111448,-0.000724759395181476,-0.015685882315272116,-0.011117749077796215,-0.016815255756745,0.015299884160353303,-0.016561275534286754,0.004189174254878662,-0.0003176184234293365,-0.006780424979419396,-0.009966570708719211,-0.006327522020573866,0.022285197677383007,0.14928533710111977,0.023123265137755217,0.006952851664029287,-0.025966237085060694,-0.00089882195157928,-0.008055669458360417,-0.0012979497732726422,0.0025556256732918955,-0.02236288073207392,-0.0007004293487017258,-0.010044639226360084,-0.0012615196977997412,-0.0004313810482399485,,0.33889758783689106
