,count,mean,std,min,25%,50%,75%,max
 Cash Flow Per Share,6819.0,0.32348191216983224,0.01761091295834377,0.0,0.317747754120393,0.322487090613284,0.3286234703260945,1.0
 Revenue Per Share (Yuan ¥),6819.0,1328640.6020960682,51707089.76790663,0.0,0.01563138073415305,0.0273757127516373,0.0463572152396509,3020000000.0
 Operating Profit Per Share (Yuan ¥),6819.0,0.10909073887546925,0.027942244774416095,0.0,0.0960833808321798,0.104226040224737,0.1161550362348345,1.0
 Per Share Net profit before tax (Yuan ¥),6819.0,0.18436057764203345,0.03318020898090537,0.0,0.170369812457634,0.179709271672818,0.193492505837162,1.0
 Realized Sales Gross Profit Growth Rate,6819.0,0.02240785447416587,0.012079270152911608,0.0,0.022064532735505453,0.0221023731764072,0.022153148426612798,1.0
 Operating Profit Growth Rate,6819.0,0.8479799951688084,0.010752477405401351,0.0,0.8479841081819834,0.848043533745768,0.8481225403945605,1.0
 After-tax Net Profit Growth Rate,6819.0,0.6891461185681318,0.013853022260934765,0.0,0.6892699337448115,0.689438526343149,0.6896471679790515,1.0
 Regular Net Profit Growth Rate,6819.0,0.6891500117795616,0.0139102834140106,0.0,0.689270265563206,0.689438555196922,0.6896470092832976,1.0
 Continuous Net Profit Growth Rate,6819.0,0.21763901299696697,0.01006296314611611,0.0,0.2175795122117655,0.217598046961963,0.217621501194243,1.0
 Total Asset Growth Rate,6819.0,5508096595.248749,2897717771.1697035,0.0,4860000000.0,6400000000.0,7390000000.0,9990000000.0
 Net Value Growth Rate,6819.0,1566212.055241067,114159389.51834548,0.0,0.0004409688868264,0.0004619555222076,0.000499362141038,9330000000.0
 Total Asset Return Growth Rate Ratio,6819.0,0.2642475118758414,0.009634208862611605,0.0,0.263758926420651,0.264049545034229,0.264388341065032,1.0
 Cash Reinvestment %,6819.0,0.37967667232266245,0.020736565809616806,0.0,0.37474851905666695,0.380425468499683,0.386731120301032,1.0
 Current Ratio,6819.0,403284.954244977,33302155.825480215,0.0,0.00755504663011965,0.0105871744549939,0.0162695280201934,2750000000.0
 Quick Ratio,6819.0,8376594.819684891,244684748.44687235,0.0,0.004725903227376101,0.0074124720675444,0.01224910697241505,9230000000.0
 Interest Expense Ratio,6819.0,0.6309910117124214,0.011238461504050156,0.0,0.63061225188696,0.630698209613567,0.631125258558102,1.0
 Total debt/Total net worth,6819.0,4416336.714259365,168406905.28151134,0.0,0.0030070491250148,0.005546284390702,0.00927329266179695,9940000000.0
 Debt ratio %,6819.0,0.11317708497306007,0.05392030606308283,0.0,0.0728905281615624,0.111406717658796,0.148804305106267,1.0
 Net worth/Assets,6819.0,0.8868229150269401,0.05392030606308284,0.0,0.8511956948937329,0.888593282341204,0.927109471838438,1.0
 Long-term fund suitability ratio (A),6819.0,0.00878273381503679,0.028152926049290605,0.0,0.0052436836906082,0.0056646361117639,0.00684743246553585,1.0
 Borrowing dependency,6819.0,0.37465429459872324,0.016286163355500444,0.0,0.3701678435547765,0.372624322553083,0.3762707372009225,1.0
 Contingent liabilities/Net worth,6819.0,0.0059682772664790325,0.012188361875857312,0.0,0.0053658477137564,0.0053658477137564,0.00576435604952715,1.0
 Operating profit/Paid-in capital,6819.0,0.10897668140338518,0.02778168598564047,0.0,0.0961046786197013,0.104133079290635,0.115927337274252,1.0
 Net profit before tax/Paid-in capital,6819.0,0.18271502907673604,0.030784771508309793,0.0,0.169376366789835,0.178455621747983,0.191606967800317,1.0
 Inventory and accounts receivable/Net value,6819.0,0.40245933052066923,0.013324079587932275,0.0,0.3974026791778925,0.40013102490143,0.404550770809581,1.0
 Total Asset Turnover,6819.0,0.14160561602172958,0.1011449684929233,0.0,0.0764617691154423,0.118440779610195,0.176911544227886,1.0
 Accounts Receivable Turnover,6819.0,12789705.237553563,278259836.9840667,0.0,0.0007101336065656,0.0009678106580909,0.0014547594168788,9740000000.0
 Average Collection Days,6819.0,9826220.861191595,256358895.70533204,0.0,0.0043865304397204,0.0065725374332349,0.00897287558119175,9730000000.0
 Inventory Turnover Rate (times),6819.0,2149106056.607619,3247967014.047812,0.0,0.0001728255554827,0.0007646742653862,4620000000.0,9990000000.0
 Fixed Assets Turnover Frequency,6819.0,1008595981.8175156,2477557316.9201517,0.0,0.0002330013064716,0.000593094234655,0.0036523711287173,9990000000.0
 Net Worth Turnover Rate (times),6819.0,0.038595054614951586,0.036680343560413615,0.0,0.0217741935483871,0.0295161290322581,0.0429032258064516,1.0
 Revenue per person,6819.0,2325854.266358276,136632654.3899363,0.0,0.010432854016421151,0.0186155134174464,0.0358547655068079,8810000000.0
 Operating profit per person,6819.0,0.40067101508133507,0.032720144194699534,0.0,0.392437981954275,0.395897876574478,0.40185093055335697,1.0
 Allocation rate per person,6819.0,11255785.321742088,294506294.11677057,0.0,0.004120528997963601,0.0078443733586557,0.015020308976719,9570000000.0
 Working Capital to Total Assets,6819.0,0.814125170261333,0.0590544026482635,0.0,0.774308962762401,0.81027522898466,0.8503828485419616,1.0
 Quick Assets/Total Assets,6819.0,0.4001318123650569,0.20199806668068215,0.0,0.24197285659394002,0.386450924981744,0.540593673285078,1.0
 Current Assets/Total Assets,6819.0,0.5222734467680338,0.21811182151419323,0.0,0.35284541721511353,0.514829793890847,0.6890506806831516,1.0
 Cash/Total Assets,6819.0,0.12409456048965214,0.13925058358332645,0.0,0.03354322123979425,0.0748874639354301,0.1610731518633315,1.0
 Quick Assets/Current Liability,6819.0,3592902.1968296515,171620908.60682163,0.0,0.00523977582664085,0.0079088979804512,0.0129509103075746,8820000000.0
 Cash/Current Liability,6819.0,37159994.147133335,510350903.16273063,0.0,0.0019730075415488497,0.0049038864700734,0.0128055731079178,9650000000.0
 Current Liability to Assets,6819.0,0.0906727945676238,0.05028985666891821,0.0,0.0533012764320206,0.0827047949822228,0.1195229934695275,1.0
 Operating Funds to Liability,6819.0,0.35382800412158655,0.035147184179188065,0.0,0.34102297735578047,0.348596657106137,0.3609148870133705,1.0
 Inventory/Working Capital,6819.0,0.27739510610233165,0.010468846972945228,0.0,0.2770339694810945,0.277177699032242,0.2774287054274715,1.0
 Inventory/Current Liability,6819.0,55806804.52577958,582051554.6194191,0.0,0.0031631476746991002,0.0064973353534734,0.011146766748190151,9910000000.0
 Current Liabilities/Liability,6819.0,0.7615988775853332,0.20667676768344223,0.0,0.6269807662218725,0.806881404713333,0.942026693700069,1.0
 Working Capital/Equity,6819.0,0.7358165257322183,0.011678026475599061,0.0,0.733611818564342,0.736012732265696,0.738559910578823,1.0
 Current Liabilities/Equity,6819.0,0.33140980061698827,0.013488027908897866,0.0,0.328095841686878,0.329685133135929,0.332322404809702,1.0
 Long-term Liability to Current Assets,6819.0,54160038.13589435,570270621.9592104,0.0,0.0,0.0019746187761809,0.009005945944256601,9540000000.0
 Retained Earnings to Total Assets,6819.0,0.9347327541270043,0.025564221690643103,0.0,0.9310965081459854,0.937672322031461,0.9448112860939986,1.0
 Total income/Total expense,6819.0,0.002548945567386416,0.01209281469621801,0.0,0.0022355962096577498,0.0023361709310448,0.0024918511193838,1.0
 Total expense/Assets,6819.0,0.02918409925586063,0.02714877679286165,0.0,0.01456705658927065,0.0226739487842648,0.035930137895265155,1.0
 Current Asset Turnover Rate,6819.0,1195855763.3089354,2821161238.262308,0.0,0.00014562362973865,0.0001987815566631,0.0004525945407579,10000000000.0
 Quick Asset Turnover Rate,6819.0,2163735272.034426,3374944402.166023,0.0,0.00014171486236355001,0.0002247727878357,4900000000.0,10000000000.0
 Working capitcal Turnover Rate,6819.0,0.5940062655659162,0.008959384178922204,0.0,0.5939344215587965,0.593962767104877,0.5940023454696105,1.0
 Cash Turnover Rate,6819.0,2471976967.444318,2938623226.6788445,0.0,0.0002735337396781,1080000000.0,4510000000.0,10000000000.0
 Cash Flow to Sales,6819.0,0.6715307810992098,0.0093413456183006,0.0,0.671565259253275,0.671573958092574,0.671586580417158,1.0
 Fixed Assets to Assets,6819.0,1220120.5015895537,100754158.71316808,0.0,0.0853603651897917,0.196881048224411,0.3721999782647555,8320000000.0
 Current Liability to Liability,6819.0,0.7615988775853332,0.20667676768344223,0.0,0.6269807662218725,0.806881404713333,0.942026693700069,1.0
 Current Liability to Equity,6819.0,0.33140980061698827,0.013488027908897866,0.0,0.328095841686878,0.329685133135929,0.332322404809702,1.0
 Equity to Long-term Liability,6819.0,0.11564465149636942,0.019529176275314197,0.0,0.110933233663468,0.112340004024972,0.117106091075626,1.0
 Cash Flow to Total Assets,6819.0,0.6497305901792364,0.04737213191450496,0.0,0.633265319013864,0.645366460270721,0.6630618534616091,1.0
 Cash Flow to Liability,6819.0,0.4618492532922571,0.029942680345244794,0.0,0.4571164765642225,0.459750137932885,0.46423584697152853,1.0
 CFO to Assets,6819.0,0.5934150861096208,0.05856055014224858,0.0,0.5659869401753586,0.593266274083544,0.6247688757833555,1.0
 Cash Flow to Equity,6819.0,0.3155823898995751,0.01296089240164725,0.0,0.312994699600273,0.314952752072916,0.317707188742567,1.0
 Current Liability to Current Assets,6819.0,0.031506365747440736,0.030844688453563848,0.0,0.018033665707965,0.0275971428517009,0.0383746158541899,1.0
 Liability-Assets Flag,6819.0,0.001173192550227306,0.034234310865302146,0.0,0.0,0.0,0.0,1.0
 Net Income to Total Assets,6819.0,0.8077602200365486,0.040332191531426226,0.0,0.7967498491931705,0.810619042075101,0.8264545295408715,1.0
 Total assets to GNP price,6819.0,18629417.81183602,376450059.7458224,0.0,0.0009036204813306,0.0020852127088157,0.0052697768568805,9820000000.0
 No-credit Interval,6819.0,0.623914574767534,0.012289548007412282,0.0,0.623636304973909,0.623879225987712,0.6241681927893561,1.0
 Gross Profit to Sales,6819.0,0.607946340270717,0.016933807795673647,0.0,0.6004428952063054,0.605998288167218,0.613913271038147,1.0
 Net Income to Stockholder's Equity,6819.0,0.8404020646301005,0.01452252608252491,0.0,0.8401148040637195,0.841178760250192,0.8423569700412374,1.0
 Liability to Equity,6819.0,0.2803651538333931,0.014463223575594045,0.0,0.276944242646329,0.278777583629637,0.2814491856088265,1.0
 Degree of Financial Leverage (DFL),6819.0,0.027541119421203627,0.01566794186642967,0.0,0.0267911566924924,0.0268081258982465,0.026913184214613348,1.0
 Interest Coverage Ratio (Interest expense to EBIT),6819.0,0.5653579335465574,0.013214239761961918,0.0,0.565158395757604,0.565251928758969,0.565724709506105,1.0
 Net Income Flag,6819.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
 Equity to Liability,6819.0,0.047578356529497656,0.05001371618013796,0.0,0.024476693570910098,0.0337976972031022,0.052837817459331596,1.0
